archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,subtype: YAP1,2.5601e-08,1,1
1,subtype: POU2F3,5.3838e-05,1,1
2,subtype: NEUROD1,8.2157e-15,1,1
2,sampleType: Cell_line,0.0022452,1,1
2,source: Minna,0.042587,1,1
3,subtype: ASCL1,0.00033874,1,1
3,sampleType: Cell_line,0.040112,1,1
4,source: tumor,0.00017606,1,1
4,sampleType: tumor,0.00017606,1,1
4,subtype: POU2F3,0.25938,1,1
5,source: tumor,0.017221,1,1
5,sampleType: tumor,0.017221,1,1
5,subtype: NEUROD1,0.085013,1,1
