outputFileName,algNum,dim,binSize, nArchetypes, pval, tRatioReal
645734, 5, 12, 1.000000e-01, 5, NaN, NaN
417279, 5, 12, 1.000000e-01, 5,3.200000e-02, 1.073667e-01
743683, 5, 12, 1.000000e-01, 4,5.900000e-02, 2.470599e-01
597788, 4, 12, 1.000000e-01, 4,2.400000e-02, 2.890779e-01
478429, 1, 12, 1.000000e-01, 4,7.760000e-01, 1.515230e+00
322234, 5, 12, 1.000000e-01, 5,3.400000e-02, 1.073667e-01
642917, 4, 12, 1.000000e-01, 5,2.600000e-02, 1.299398e-01
594998, 1, 12, 1.000000e-01, 5,8.790000e-01, 2.254165e+00
729612, 5, 12, 1.000000e-01, 6,1.600000e-02, 4.258586e-02
610992, 4, 12, 1.000000e-01, 6,1.900000e-02, 5.174497e-02
58694, 1, 12, 1.000000e-01, 6,1.710000e-01, 3.142488e+00
153473, 5, 12, 1.000000e-01, 3,5.080000e-01, 5.201962e-01
749365, 5, 12, 1.000000e-01, 7,1.000000e-03, 2.043874e-02
